show_id,type,title,date_added,release_year,rating,duration
s282,Movie,Miss Peregrine's Home for Peculiar Children,12-Mar-21,2016,PG-13,127 min
s283,Movie,Own the Room,12-Mar-21,2021,TV-14,91 min
s284,Movie,Garfield: A Tail of Two Kitties,5-Mar-21,2006,PG,79 min
s285,TV Show,American Dragon: Jake Long,26-Feb-21,2004,TV-Y7,2 Seasons
s286,TV Show,Car SOS,26-Feb-21,2012,TV-PG,8 Seasons
s287,TV Show,Disney Channel Games 2008,26-Feb-21,2008,TV-G,1 Season
s288,TV Show,Disney Roll It Back (Shorts),26-Feb-21,2019,TV-Y7,1 Season
s289,TV Show,Dog With a Blog,26-Feb-21,2012,TV-G,3 Seasons
s290,TV Show,Mickey Go Local,26-Feb-21,2019,TV-G,1 Season
s291,Movie,Myth: A Frozen Tale,26-Feb-21,2021,TV-G,12 min
s292,Movie,Okavango: River of Dreams,26-Feb-21,2020,TV-PG,95 min
s293,TV Show,Pair of Kings,26-Feb-21,2010,TV-Y7,3 Seasons
s294,TV Show,Secrets of Sulphur Springs,26-Feb-21,2021,TV-PG,1 Season
s295,Movie,Shanghai Disney Resort Grand Opening Gala,26-Feb-21,2016,TV-G,24 min
s296,Movie,Cheaper By the Dozen,19-Feb-21,2003,PG,99 min
s297,Movie,Cheaper by the Dozen 2,19-Feb-21,2005,PG,95 min
s298,Movie,Flora & Ulysses,19-Feb-21,2021,PG,95 min
s299,Movie,The Book of Life,19-Feb-21,2014,PG,101 min
s300,TV Show,The Muppet Show,19-Feb-21,1976,TV-PG,5 Seasons
s301,TV Show,Marvel Battleworld: Mystery of the Thanostones,12-Feb-21,2020,TV-Y7-FV,1 Season
s302,Movie,Marvel's Behind the Mask,12-Feb-21,2021,TV-14,65 min
s303,Movie,Rodgers & Hammerstein's Cinderella,12-Feb-21,1997,G,86 min
s304,Movie,You Again,12-Feb-21,2010,PG,106 min
s305,Movie,Disney My Music Story: Yoshiki,5-Feb-21,2019,TV-PG,48 min
s306,Movie,Expedition Everest,5-Feb-21,2020,TV-PG,45 min
s307,Movie,Upside-Down Magic,5-Feb-21,2020,TV-PG,97 min
s308,TV Show,Wicked Tuna: Outer Banks,5-Feb-21,2013,TV-14,7 Seasons
